ZAMÓWIENIE NR: ZM_GLASS 0001/10/2025/???;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Dostawca:;;;;;;;;;;Odbiorca:;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Telefon: ;;;;;;;;;;;;;;;;;;
;;;Fax: ;;;;;;;;;;Fax: ;;;;;;;;
;;;EMail:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;;;;;33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;20,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
48;;1978 mm;;1338 mm;6; 2,65; 15,88;; 841,72;; 400,00;;;1 058,63;;6 351,75;478-2025:19:6;;;;
49;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:20:4;;;;
50;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:21:4;;;;
Razem:;;;;;126;; 334,32;;17 721,46;;;;;;;133 728,90;Pozycji:;;;;46
;;;;;;;;;;;;;;;;;;;;;
8mm Thermofloat 1,1 hartowany /16Ar Cr Cz/8mm Float /16Ar Cr Cz/55.2 (10,76mm) Thermofloat 1,1  Ug=0,6;;;;;;;;;;;;;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;58,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
51;;801 mm;;3928 mm;1; 3,15; 3,15;; 214,96;; 0,00;;; 0,00;; 0,00;478-2025:1:3;;;;
52;;938 mm;;3928 mm;1; 3,68; 3,68;; 251,64;; 0,00;;; 0,00;; 0,00;478-2025:1:1;;;;
53;;1478 mm;;3928 mm;1; 5,81; 5,81;; 396,51;; 0,00;;; 0,00;; 0,00;478-2025:1:2;;;;
54;;1478 mm;;3928 mm;31; 5,81; 179,97;;12 291,74;; 0,00;;; 0,00;; 0,00;478-2025:1:2;;;;
55;;728 mm;;3928 mm;1; 2,86; 2,86;; 195,30;; 0,00;;; 0,00;; 0,00;478-2025:2:5;;;;
56;;828 mm;;3928 mm;1; 3,25; 3,25;; 222,23;; 0,00;;; 0,00;; 0,00;478-2025:2:6;;;;
57;;833 mm;;3928 mm;1; 3,27; 3,27;; 223,47;; 0,00;;; 0,00;; 0,00;478-2025:2:1;;;;
58;;1478 mm;;3928 mm;25; 5,81; 145,14;;9 912,69;; 0,00;;; 0,00;; 0,00;478-2025:2:2;;;;
59;;648 mm;;3928 mm;1; 2,55; 2,55;; 173,84;; 0,00;;; 0,00;; 0,00;478-2025:6:3;;;;
60;;967 mm;;3928 mm;1; 3,80; 3,80;; 259,31;; 0,00;;; 0,00;; 0,00;478-2025:6:5;;;;
61;;1467 mm;;3928 mm;2; 5,76; 11,52;; 787,11;; 0,00;;; 0,00;; 0,00;478-2025:6:4;;;;
62;;1478 mm;;3928 mm;4; 5,81; 23,22;;1 586,03;; 0,00;;; 0,00;; 0,00;478-2025:6:2;;;;
63;;1558 mm;;3928 mm;1; 6,12; 6,12;; 417,97;; 0,00;;; 0,00;; 0,00;478-2025:6:1;;;;
64;;928 mm;;3928 mm;1; 3,65; 3,65;; 248,96;; 0,00;;; 0,00;; 0,00;478-2025:7:4;;;;
65;;BZ=1407 mm BW=1422 mm;;3928 mm;1; 5,52; 5,52;; 377,32;; 0,00;;; 0,00;; 0,00;478-2025:7:5;;;;
66;;1478 mm;;3928 mm;8; 5,81; 46,44;;3 172,06;; 0,00;;; 0,00;; 0,00;478-2025:7:2;;;;
67;;1638 mm;;3928 mm;1; 6,43; 6,43;; 439,43;; 0,00;;; 0,00;; 0,00;478-2025:7:1;;;;
68;;383 mm;;3928 mm;1; 1,50; 1,50;; 102,75;; 0,00;;; 0,00;; 0,00;478-2025:8:3;;;;
69;;1478 mm;;3928 mm;7; 5,81; 40,64;;2 775,55;; 0,00;;; 0,00;; 0,00;478-2025:8:1;;;;
70;;1478 mm;;3928 mm;11; 5,81; 63,86;;4 361,59;; 0,00;;; 0,00;; 0,00;478-2025:9:1;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;2 (4);;;;;;;;;;01.10.2025;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
8mm Thermofloat 1,1 hartowany /16Ar Cr Cz/8mm Float /16Ar Cr Cz/55.2 (10,76mm) Thermofloat 1,1  Ug=0,6;;;;;;;;;;;;;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;58,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
71;;BZ=1686 mm BW=1671 mm;;3928 mm;1; 6,62; 6,62;; 452,41;; 0,00;;; 0,00;; 0,00;478-2025:9:3;;;;
72;;978 mm;;3928 mm;1; 3,84; 3,84;; 262,37;; 0,00;;; 0,00;; 0,00;478-2025:10:3;;;;
73;;1478 mm;;3928 mm;6; 5,81; 34,83;;2 379,05;; 0,00;;; 0,00;; 0,00;478-2025:10:2;;;;
74;;1578 mm;;3928 mm;1; 6,20; 6,20;; 423,34;; 0,00;;; 0,00;; 0,00;478-2025:10:1;;;;
75;;703 mm;;3928 mm;1; 2,76; 2,76;; 188,60;; 0,00;;; 0,00;; 0,00;478-2025:11:1;;;;
76;;BZ=821 mm BW=806 mm;;3928 mm;1; 3,23; 3,23;; 220,26;; 0,00;;; 0,00;; 0,00;478-2025:11:4;;;;
77;;1478 mm;;3928 mm;5; 5,81; 29,03;;1 982,54;; 0,00;;; 0,00;; 0,00;478-2025:11:2;;;;
78;;778 mm;;3928 mm;1; 3,06; 3,06;; 208,72;; 0,00;;; 0,00;; 0,00;478-2025:14:4;;;;
79;;798 mm;;3928 mm;1; 3,13; 3,13;; 214,08;; 0,00;;; 0,00;; 0,00;478-2025:14:1;;;;
80;;1478 mm;;3928 mm;20; 5,81; 116,11;;7 930,16;; 0,00;;; 0,00;; 0,00;478-2025:14:2;;;;
81;;1478 mm;;3928 mm;2; 5,81; 11,61;; 793,02;; 0,00;;; 0,00;; 0,00;478-2025:17:1;;;;
82;;BZ=1700 mm BW=1685 mm;;3928 mm;1; 6,68; 6,68;; 456,12;; 0,00;;; 0,00;; 0,00;478-2025:17:2;;;;
83;;503 mm;;3928 mm;1; 1,98; 1,98;; 134,94;; 0,00;;; 0,00;; 0,00;478-2025:18:1;;;;
84;;1478 mm;;3928 mm;3; 5,81; 17,42;;1 189,52;; 0,00;;; 0,00;; 0,00;478-2025:18:2;;;;
